[SERVER] Radi na http://localhost:8080
[INFO] 2026-06-10T14:02:34.336Z | filteri: grayscale | vreme: 334ms
[INFO] 2026-06-10T14:02:34.851Z | filteri: grayscale | vreme: 336ms
[INFO] 2026-06-10T14:02:35.348Z | filteri: grayscale | vreme: 269ms
[INFO] 2026-06-10T14:02:35.751Z | filteri: grayscale | vreme: 350ms
[INFO] 2026-06-10T14:02:36.243Z | filteri: grayscale | vreme: 271ms
[INFO] 2026-06-10T14:02:36.631Z | filteri: grayscale | vreme: 267ms
[INFO] 2026-06-10T14:02:37.042Z | filteri: grayscale | vreme: 295ms
[INFO] 2026-06-10T14:02:37.463Z | filteri: grayscale | vreme: 303ms
[INFO] 2026-06-10T14:02:37.904Z | filteri: grayscale | vreme: 266ms
[INFO] 2026-06-10T14:02:38.309Z | filteri: grayscale | vreme: 403ms
[INFO] 2026-06-10T14:02:38.902Z | filteri: contrast | vreme: 364ms
[INFO] 2026-06-10T14:02:39.413Z | filteri: contrast | vreme: 285ms
[INFO] 2026-06-10T14:02:39.832Z | filteri: contrast | vreme: 295ms
[INFO] 2026-06-10T14:02:40.253Z | filteri: contrast | vreme: 246ms
[INFO] 2026-06-10T14:02:40.651Z | filteri: contrast | vreme: 268ms
[INFO] 2026-06-10T14:02:41.131Z | filteri: contrast | vreme: 274ms
[INFO] 2026-06-10T14:02:41.530Z | filteri: contrast | vreme: 270ms
[INFO] 2026-06-10T14:02:41.955Z | filteri: contrast | vreme: 303ms
[INFO] 2026-06-10T14:02:42.422Z | filteri: contrast | vreme: 302ms
[INFO] 2026-06-10T14:02:42.854Z | filteri: contrast | vreme: 291ms
[INFO] 2026-06-10T14:02:43.284Z | filteri: flip | vreme: 295ms
[INFO] 2026-06-10T14:02:43.710Z | filteri: flip | vreme: 273ms
[INFO] 2026-06-10T14:02:44.094Z | filteri: flip | vreme: 278ms
[INFO] 2026-06-10T14:02:44.506Z | filteri: flip | vreme: 288ms
[INFO] 2026-06-10T14:02:44.906Z | filteri: flip | vreme: 368ms
[INFO] 2026-06-10T14:02:45.484Z | filteri: flip | vreme: 601ms
[INFO] 2026-06-10T14:02:46.301Z | filteri: flip | vreme: 304ms
[INFO] 2026-06-10T14:02:46.755Z | filteri: flip | vreme: 323ms
[INFO] 2026-06-10T14:02:47.209Z | filteri: flip | vreme: 540ms
[INFO] 2026-06-10T14:02:47.949Z | filteri: flip | vreme: 601ms
[INFO] 2026-06-10T14:02:48.807Z | filteri: laplacian | vreme: 611ms
[INFO] 2026-06-10T14:02:49.727Z | filteri: laplacian | vreme: 635ms
[INFO] 2026-06-10T14:02:50.652Z | filteri: laplacian | vreme: 602ms
[INFO] 2026-06-10T14:02:51.510Z | filteri: laplacian | vreme: 530ms
[INFO] 2026-06-10T14:02:52.312Z | filteri: laplacian | vreme: 610ms
